State Name,Year,yield,Avg_Annual_Temperature,Avg_Annual_Rainfall,average_price
Andhra Pradesh,1994,1204.1009090909092,24.46,1295.3,6.919554455445544
Andhra Pradesh,1995,1221.8968181818182,25.29,1242.4,7.03345156555773
Andhra Pradesh,1996,1319.3986363636363,24.55,1182.9,8.187600353243418
Andhra Pradesh,1997,1153.1222727272725,24.1,1183.1,8.944368268434134
Andhra Pradesh,1998,1329.8690909090908,24.76,1208.8,9.250178760593219
Andhra Pradesh,1999,1383.9704545454545,24.67,1116.6,9.829413873148084
Andhra Pradesh,2000,1484.8372727272729,24.6,1035.4,203.62665521978022
Andhra Pradesh,2001,1591.3054545454545,24.73,1105.2,307.19596972271563
Andhra Pradesh,2002,1306.2463636363636,25.0,981.9,187.87829401840492
Andhra Pradesh,2003,1387.0536363636365,24.72,1243.6,184.94695330250462
Andhra Pradesh,2004,1581.5790909090908,24.74,1080.5,176.54035590421142
Andhra Pradesh,2005,1439.4072727272728,24.58,1208.3,194.15448920484465
Andhra Pradesh,2006,1512.3227272727274,25.06,1161.6,238.7763065652203
Andhra Pradesh,2007,1683.7695454545453,24.77,1179.3,259.28268439756005
Andhra Pradesh,2008,1644.3009090909088,24.61,1118.0,283.79670255183413
Andhra Pradesh,2009,1638.959090909091,25.11,953.7,302.0420379647749
Andhra Pradesh,2010,1257.6454545454544,25.13,1215.5,253.33105543535876
Andhra Pradesh,2011,1250.229393939394,24.67,1116.3,128.67280691308093
Andhra Pradesh,2012,1181.9566666666665,24.69,1054.7,131.0606643085711
Andhra Pradesh,2013,1142.5630303030302,24.820000000000004,1092.5,136.6361060792586
Andhra Pradesh,2014,1242.8433333333335,24.73,1045.2,148.0098748510449
Andhra Pradesh,2015,1177.6760606060604,24.91,1189.2,112.2047103314822
Andhra Pradesh,2016,1459.4945454545457,25.149999999999995,1198.8,128.20569612772405
Andhra Pradesh,2017,1479.6987878787884,24.790000000000003,1211.0,147.76915776901993
Assam,1994,1445.21,24.46,1295.3,6.919554455445544
Assam,1995,1292.65,25.29,1242.4,7.03345156555773
Assam,1996,1354.0700000000002,24.55,1182.9,8.187600353243418
Assam,1997,1333.2435,24.1,1183.1,8.944368268434134
Assam,1998,1194.5720000000001,24.76,1208.8,9.250178760593219
Assam,1999,1366.16,24.67,1116.6,9.829413873148084
Assam,2000,1365.3790000000001,24.6,1035.4,203.62665521978022
Assam,2001,1383.8915,24.73,1105.2,307.19596972271563
Assam,2002,1279.6574999999998,25.0,981.9,187.87829401840492
Assam,2003,1300.502,24.72,1243.6,184.94695330250462
Assam,2004,1242.652,24.74,1080.5,176.54035590421142
Assam,2005,1259.76,24.58,1208.3,194.15448920484465
Assam,2006,1203.5575,25.06,1161.6,238.7763065652203
Assam,2007,1319.17,24.77,1179.3,259.28268439756005
Assam,2008,1328.2645,24.61,1118.0,283.79670255183413
Assam,2009,1439.1509999999998,25.11,953.7,302.0420379647749
Assam,2010,1427.1886666666667,25.13,1215.5,253.33105543535876
